,Judul,Isi
22,Kemenag Sudah Susun Data Jemaah Calon Haji Berangkat 2024,"JAKARTA, KOMPAS.com - Nama-nama jemaah calon haji yang akan berangkat pada 1445 hijriah atau pada 2024 sudah disusun Direktorat Jenderal Penyelenggaraan Haji dan Umrah Kementerian Agama.Dirjen Penyelenggaraan Haji dan Umrah Kemenag Hilman Latief berharap, mereka yang masuk dalam daftar untuk mempersiapkan diri.""Jika termasuk yang akan berangkat 2024, jemaah diimbau untuk mulai menjaga kesehatan. Jaga kesehatan dari aspek mendasar, mulai dari menjaga makanan dan olahraga,"" ujar Dirjen Penyelenggaraan Haji dan Umrah (PHU) Kemenag Hilman Latief di Jakarta, Rabu (1/11/2023), dikutip dari Antara.Baca juga: Jokowi Umumkan Indonesia Dapat 20.000 Kuota Haji Tambahan untuk 2024Hilman mengatakan, data jemaah yang akan berangkat itu akan disampaikan ke Kantor Wilayah (Kanwil) Kemenag provinsi agar menjadi panduan.Jemaah juga sudah bisa melihat perkiraan keberangkatannya melalui Sistem Komputerisasi Haji Terpadu (Siskohat).Jemaah calon haji yang masuk dalam daftar berangkat melakukan tes pemeriksaan kesehatan.Adapun untuk biaya dan lokasi masih akan didiskusikan dengan Kementerian Kesehatan (Kemenkes) dan BPJS Kesehatan.Tes kesehatan ini menjadi salah satu syarat pelunasan Biaya Perjalanan Ibadah Haji (Bipih).Pasalnya Kemenag akan menerapkan syarat istithaah kesehatan yakni jemaah yang benar-benar sehat secara fisik dan mental yang diutamakan berangkat.Baca juga: Diminta Jokowi, Arab Saudi Kabulkan Penambahan Kuota Haji Indonesia 20.000 Jemaah""Kami juga akan segera sampaikan ke publik, di mana saja dan berapa biaya yang dikeluarkan jemaah saat pemeriksaan kesehatan. Kami akan sampaikan ke publik bahwa pemeriksaan sudah bisa dilakukan,"" kata Hilman.Sementara itu Direktur Bina Haji Kemenag Arsad Hidayat mengatakan istithaah kesehatan akan menjadi perhatian bersama, pemerintah, jemaah, dan juga masyarakat.Kemenag dan Kemenkes secara berjenjang akan memberikan edukasi dan sosialisasi tentang istithaah kesehatan haji kepada calon peserta haji melalui penyuluhan kesehatan serta bimbingan manasik haji dan melibatkan peran serta masyarakat/KBIHU (Kelompok Bimbingan Ibadah Haji dan Umrah) dan ormas Islam.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
23,"Prabowo-Gibran Tak Janjikan Penyelesaian Kasus HAM Masa Lalu, Aktivis HAM Singgung soal Rekam Jejak","JAKARTA, KOMPAS.com - Aktivis Hak Asasi Manusia (HAM) Usman Hamid menyinggung soal rekam jejak para bakal calon presiden dan calon wakil presiden (capres-cawapres), khususnya Prabowo Subianto dan Gibran Rakabuming Raka yang tak mencantumkan program penyelesaian kasus hak asasi manusia (HAM) masa lalu.Usman Hamid mengatakan, penting untuk melihat kiprah para bakal capres-cawapres selama menjadi pejabat dan politikus.""Adakah dari mereka yang selama ini terlihat gigih memperjuangkan penyelesaian kasus-kasus HAM berat masa lalu atau malah berdiam diri atas terjadinya pelanggaran HAM atau malah justru terlibat dalam pelanggaran-pelanggaran HAM berat masa lalu?"" ujar Usman melalui pesan singkat, Rabu (1/11/2023).Menurutnya, rekam jejak tersebut penting ditelaah karena kasus pelanggaran HAM khususnya pelanggaran HAM berat masa lalu harus dituntaskan.Baca juga: Hanya Prabowo-Gibran yang Tak Janjikan Penyelesaian Pelanggaran HAM Masa LaluSekretaris Tim Pencari Fakta (TPF) kasus pembunuhan Munir ini mengatakan, penuntasan kasus HAM harus dilakukan secara hukum untuk memberikan keadilan bagi para korban yang kehilangan haknya di masa lalu.""Hal itu juga penting karena menyangkut moralitas kolektif masyarakat bangsa di masa depan. Bangsa ini memerlukan masa depan baru, dalam arti berpijak pada sejarah pelanggaran HAM masa lalu yang jujur mengakui sisi kelamnya. Hal ini pula yang bisa mencegah pelanggaran HAM berat terulang di masa depan,"" kata Usman Hamid.Direktur Eksekutif Amnesty Internasional Indonesia ini juga menyebut bahwa kasus pelanggaran HAM sangat mungkin terjadi berulang.""Maka ini yang harus dituntut oleh para capres dan cawapres, apa komitmen-komitmen spesifik mereka untuk menjamin agar pelanggaran HAM masa lalu tidak terulang di masa depan. Itu yang menjadi kunci,"" ujar Usman.Baca juga: Visi Misi 3 Pasangan Bacapres-Bacawapres Terkait Penegakan HAMSebagai informasi, hanya pasangan bakal capres-cawapres Prabowo Subianto dan Gibran Rakabuming Raka yang tidak mencantumkan program penyelesaian kasus HAM dalam visi-misinya.Dalam misi terkait HAM, Prabowo-Gibran hanya menjanjikan perlindungan HAM untuk warga negara dan menghapus praktik diskriminasi.Keduanya juga membuat program kebijakan inklusif, menjamin pemenuhan hak dasar masyarakat dan kelompok rentan hingga perlindungan untuk tenaga kerja.Sedangkan pasangan calon lainnya, Ganjar Pranowo dan Mahfud MD, berkomitmen menyelesaikan pelanggaran HAM masa lalu secara adil. Terutama, terhadap pelanggaran HAM yang jadi beban peradaban bangsa.Pasangan calon dari Koalisi Perubahan untuk Persatuan (KPP) Anies Baswedan dan Muhaimin Iskandar (Cak Imin) juga berkomitmen menuntaskan kasus pelanggaran HAM dalam visi misinya.Tidak hanya itu, Anies-Cak Imin ini juga mendorong pemulihan sosial ekonomi korban pelanggaran HAM dan menguatkan lembaga HAM Nasional.Baca juga: Anies-Cak Imim Janji Tuntaskan Kasus Pelanggaran HAMDapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
24,Gerindra Sebut Putusan MK soal Usia Capres-Cawapres Tak Terkait Kepentingan Keluarga,"JAKARTA, KOMPAS.com - Partai Gerindra mempertanyakan alasan digunakan buat mempersoalkan putusan Mahkamah Konstitusi (MK) terkait syarat batas usia capres-cawapres karena dianggap sarat konflik kepentingan.“Putusan Mahkamah Konstitusi ini enggak ada konflik kepentingan, kepentingan keluarga atau kepentingan nasional, karena dengan bisa majunya anak muda tidak menghalangi pihak manapun untuk maju juga,"" kata Wakil Ketua Umum Partai Gerindra Habiburokhman seperti dikutip dari program Sapa Indonesia Pagi di Kompas TV, Rabu (1/11/2023).""Apakah ada pihak yang takut dengan majunya anak muda, sedemikian takutnya sehingga kalau anak muda maju bisa dianggap mengganggu kepentingan nasional. Logikanya dari mana?"" ujar Habiburokhman.Habiburokhman menilai wajar terjadi perbedaan pandangan dalam memaknai setiap putusan MK. Akan tetapi, kata dia, Gerindra tetap menghormati seluruh pendapat.Baca juga: Wacanakan Hak Angket terhadap MK, Masinton: Konstitusi Kita Sedang Diinjak-injak!Dia berharap pihak-pihak yang merasa kepentingan politiknya terusik akibat putusan MK itu sebaiknya tidak melanjutkan narasi delegitimasi karena justru bisa memperkeruh masalah.""Sehingga enggak akan putus kalau kita terus memperdebatkan sesuatu yang sudah final, sudah mengikat,"" ucap Habiburokhman.Menurut Habiburokhman, jika seluruh kalangan tidak menaati putusan lembaga yudikatif karena dianggap bertentangan dengan kepentingan politik, maka hal itu sama saja tidak taat terhadap prinsip demokrasi.""Ini bentuk konsistensi kita, komitmen kita pada demokrasi. Demokrasi itu adalah bagaimana kita menaati hukum. Bahwa kita selain negara demokrasi adalah negara hukum,"" ucap Habiburokhman.Baca juga: Politisi PDI-P Masinton Akan Kumpulkan Dukungan Dewan untuk Usul Hak Angket MKSedangkan Gibran berhasil menduduki posisi Wali Kota Solo atas dukungan Partai Demokrasi Indonesia Perjuangan (PDI-P).Sebelumnya diberitakan, Anggota Komisi XI DPR Fraksi PDI-P Masinton Pasaribu mengatakan dirinya akan menggulirkan wacana hak angket terhadap Mahkamah Konstitusi (MK) terkait putusan MK mengenai batas usia capres-cawapres.Hal tersebut Masinton sampaikan ketika sedang melakukan interupsi di Rapat Paripurna DPR, Selasa (31/10/2023).Masinton menjelaskan, konstitusi harus tegak dan tidak boleh dipermainkan atas nama pragmatis politik sempit.Dia mengklaim dirinya menyuarakan hal tersebut bukan demi kepentingan PDI-P ataupun capres manapun.Baca juga: Gerindra: Putusan MK Tak Bisa Jadi Obyek Hak Angket DPR Masinton mengatakan putusan MK itu merupakan ancaman terhadap konstitusi.Apalagi, kata dia, Reformasi 1998 jelas memandatkan Indonesia harus bebas dari korupsi, kolusi, dan nepotisme (KKN). "
25,"Jokowi Resmikan Pembangunan RS Hermina di IKN, Investasi Capai Rp 650 Miliar","JAKARTA, KOMPAS.com - Presiden Joko Widodo melakukan peletakan batu pertama atau groundbreaking Rumah Sakit (RS) Hermina Nusantara di kawasan Ibu Kota Nusantara (IKN), Kalimantan Timur, pada Rabu (1/11/2023).Presiden yakin kehadiran RS tersebut akan meningkatkan kepercayaan masyarakat dan investor untuk tinggal dan berinvestasi di IKN.""Groundbreaking rumah sakit ini akan makin menguatkan kepercayaan masyarakat dan investor agar tidak ragu-ragu lagi untuk tinggal di IKN, tidak ragu-ragu berinvestasi dan mengembangkan usahanya di IKN Nusantara,"" ujar Jokowi dilansir siaran pers Sekretariat Presiden, Rabu.Baca juga: Groundbreaking Sekolah Internasional Pertama di IKN, Jokowi: Yang Mau Pindah, Jangan Ragu-ragu LagiMenurut Jokowi, ketersediaan fasilitas kesehatan yang baik merupakan hal pertama yang selalu ditanyakan masyarakat yang ingin menjadi warga IKN.Oleh karenanya, kehadiran berbagai RS bertaraf internasional di kawasan IKN diharapkan dapat menjawab kekhawatiran masyarakat tersebut.Lebih lanjut, mantan Gubernur DKI itu menuturkan bahwa investasi yang dikucurkan untuk pembangunan RS Hermina Nusantara mencapai Rp 650 miliar.Kepala Negara pun berharap pembangunan RS tersebut dapat segera selesai sehingga masyarakat IKN dan sekitarnya bisa mendapatkan pelayanan kesehatan yang unggul.Jokowi menjelaskan, dengan adanya RS Hermina Nusantara ini masyarakat di IKN dan sekitarnya bisa mendapatkan pelayanan kesehatan yang unggul seperti pelayanan gawat darurat, trauma center dan ortopedi, pelayanan ibu dan anak, perinatologi, tumbuh kembang anak, dan neurologi.Baca juga: Undang Khusus Ridwan Kamil ke IKN, Jokowi: Untuk Koreksi Terkait Arsitektur""Tadi juga disampaikan oleh dr. Hasmoro (Presiden Direktur RS Hermina) bahwa ini tidak hanya melayani pasien VVIP tetapi juga pasien BPJS dan non-BPJS, ini sangat bagus,"" ungkap Jokowi.Adapun RS Hermina merupakan fasilitas kesehatan ketiga yang rencananya dibangun di IKN.Sebelumnya, Presiden Jokowi sudah melakukan groundbreaking pembangunan RS Mayapada dan RS Abdi Waluyo di kawasan tersebut. Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
26,Gerindra Nilai Hak Angket MK Bentuk Pembangkangan Putusan Yudikatif,"JAKARTA, KOMPAS.com - Partai Gerindra menilai wacana mengajukan hak angket terhadap putusan Mahkamah Konstitusi terkait syarat batas usia capres-cawapres merupakan bentuk pembangkangan terhadap putusan lembaga yudikatif.""Bentuk pembangkangan terhadap putusan pengadilan, apalagi Mahkamah Konstitusi adalah produk Reformasi, itu adalah pembangkangan terhadap konstitusi dan demokrasi,"" kata Wakil Ketua Umum Partai Gerindra Habiburokhman seperti dikutip dari program Sapa Indonesia Pagi di Kompas TV, Rabu (1/11/2023).Habiburokhman menilai wajar terjadi perbedaan pandangan dalam memaknai setiap putusan MK. Akan tetapi, kata dia, Gerindra tetap menghormati seluruh pendapat.Dia berharap pihak-pihak yang merasa kepentingan politiknya terusik akibat putusan MK itu sebaiknya tidak melanjutkan narasi delegitimasi karena dianggap bisa memperkeruh masalah.Baca juga: Wacanakan Hak Angket terhadap MK, Masinton: Konstitusi Kita Sedang Diinjak-injak!""Sehingga enggak akan putus kalau kita terus memperdebatkan sesuatu yang sudah final, sudah mengikat,"" ucap Habiburokhman.Menurut Habiburokhman, jika seluruh kalangan tidak menaati putusan lembaga yudikatif karena dianggap bertentangan dengan kepentingan politik, maka hal itu sama saja tidak taat terhadap prinsip demokrasi.""Ini bentuk konsistensi kita, komitmen kita pada demokrasi. Demokrasi itu adalah bagaimana kita menaati hukum. Bahwa kita selain negara demokrasi adalah negara hukum,"" ucap Habiburokhman.Sedangkan Gibran berhasil menduduki posisi Wali Kota Solo atas dukungan Partai Demokrasi Indonesia Perjuangan (PDI-P).Baca juga: Politisi PDI-P Masinton Akan Kumpulkan Dukungan Dewan untuk Usul Hak Angket MKSebelumnya diberitakan, Anggota Komisi XI DPR Fraksi PDI-P Masinton Pasaribu mengatakan dirinya akan menggulirkan wacana hak angket terhadap Mahkamah Konstitusi (MK) terkait putusan MK mengenai batas usia capres-cawapres.Hal tersebut Masinton sampaikan ketika sedang melakukan interupsi di Rapat Paripurna DPR, Selasa (31/10/2023).Masinton menjelaskan, konstitusi harus tegak dan tidak boleh dipermainkan atas nama pragmatis politik sempit.Baca juga: Gerindra: Putusan MK Tak Bisa Jadi Obyek Hak Angket DPR Dia mengklaim dirinya menyuarakan hal tersebut bukan demi kepentingan PDI-P ataupun capres manapun.Masinton mengatakan putusan MK itu merupakan ancaman terhadap konstitusi.Apalagi, kata dia, Reformasi 1998 jelas memandatkan Indonesia harus bebas dari korupsi, kolusi, dan nepotisme (KKN).""Maka kita harus mengajak secara sadar dan kita harus sadarkan bahwa konstitusi kita sedang diinjak-injak. Kita harus menggunakan hak konstitusional yang dimiliki oleh lembaga DPE. Saya Masinton Pasaribu anggota DPR RI dari daerah pemilihan DKI Jakarta menggunakan hak konstitusi saya untuk melakukan hak angket,"" imbuhnya sembari berteriak karena mikroponnya dimatikan. "
27,Pelajar yang Dicabuli Kakek di Jaksel Jalani Pemeriksaan Psikologi,"JAKARTA, KOMPAS.com - Pelajar berinisial S (14), yang merupakan korban pencabulan kakeknya sendiri, SS (55), menjalani pemeriksaan psikologi. Wakasat Reskrim Polres Metro Jakarta Selatan Kompol Henrikus Yossi menyebut, pemeriksaan psikologi dilakukan oleh Unit Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (UPT P3A) Jakarta Selatan.  ""Kami merujuk korban ke UPT P3A Jakarta Selatan untuk pemeriksaan psikologi,"" ujar dia saat dikonfirmasi, Rabu (1/11/2023). Tak hanya pemeriksaan psikologi, Yossi menyebut S sebelumnya telah menjalani visum lebih dulu. Visum dilakukan untuk memeriksa kondisi awal korban, baik fisik maupun psikis. Baca juga: Polisi Panggil Ayah Korban dan Ahli untuk Dalami Kasus Kakek Cabuli Pelajar di Jaksel ""Kami juga telah merujuk korban untuk visum ke Rumah Sakit Cipto Mangunkusumo (RSCM),"" kata dia. Sebelumnya, penyidik telah memeriksa delapan saksi dalam kasus ini. Beberapa saksi yang diperiksa antara lain pelapor, terlapor, dan korban. ""Kami sudah memeriksa beberapa saksi dalam kasus ini. Mulai dari korban, pelapor, terlapor, dan lima saksi lainnya,"" tutur Yossi. Namun, Yossi menemukan adanya perbedaan keterangan yang disampaikan para saksi. Oleh karena itu, pihaknya berencana melakukan konfrontir guna menemukan fakta yang sebenarnya.  ""Dikarenakan ada perbedaan keterangan diantara para saksi, maka kami berencana melakukan pemeriksaan konfrontir terhadap pada saksi,"" imbuh dia  Sebagai informasi, S diduga menjadi korban pencabulan salah satu anggota keluarganya.Achmad Rulyansyah, paman sekaligus kuasa hukum korban mengungkapkan korban telah dicabuli oleh adik kakeknya yang juga berinisial SS (55). ""Benar, korban telah dicabuli oleh adik kakeknya di kawasan Kebayoran Lama, Jakarta Selatan, 11 Februari 2023 lalu,"" ungkap dia. Achmad mengatakan, peristiwa itu terjadi ketika korban sedang menginap di rumah pelaku selama satu pekan. Pelaku disebut melancarkan aksi bejatnya ketika sang istri tengah pergi ke luar.Baca juga: Ada Beda Keterangan, Polisi akan Konfrontir Saksi dalam Kasus Dugaan Kakek Cabuli Pelajar di Jaksel SS kemudian melakukan bujuk rayu terhadap korban dengan menawarkan belanja online di media sosial. Namun, ada syarat yang harus dipenuhi korban bila ingin dibelikan sesuatu oleh pelaku. ""Jadi korban diminta untuk masuk ke kamar terlapor bila ingin dibelikan sesuatu. Setelah masuk ke kamar, terlapor kemudian merayu korban, 'Sini peluk kakek, sini cium kakek',"" kata Achmad. "
28,Gerindra Anggap yang Persoalkan Putusan MK Tak Taat Prinsip Demokrasi,"JAKARTA, KOMPAS.com - Partai Gerindra menilai jika ada pihak-pihak yang masih mempersoalkan putusan Mahkamah Konstitusi terkait syarat batas usia capres-cawapres sama saja tidak menaati prinsip demokrasi.""Ada budaya hukum kita kalau pengadilan sudah menghasilkan putusan, dan putusan itu mengikat, maka kita harus menghormatinya,"" kata Wakil Ketua Umum Partai Gerindra Habiburokhman seperti dikutip dari program Sapa Indonesia Pagi di Kompas TV, Rabu (1/11/2023).Menurut Habiburokhman, jika seluruh kalangan tidak menaati putusan lembaga yudikatif karena dianggap bertentangan dengan kepentingan politik, maka hal itu sama saja tidak taat terhadap prinsip demokrasi.""Ini bentuk konsistensi kita, komitmen kita pada demokrasi. Demokrasi itu adalah bagaimana kita menaati hukum. Bahwa kita selain negara demokrasi adalah negara hukum,"" ucap Habiburokhman.Baca juga: Wacanakan Hak Angket terhadap MK, Masinton: Konstitusi Kita Sedang Diinjak-injak!Habiburokhman menilai wajar terjadi perbedaan pandangan dalam memaknai setiap putusan MK. Akan tetapi, kata dia, Gerindra tetap menghormati seluruh pendapat.Dia berharap pihak-pihak yang merasa kepentingan politiknya terusik akibat putusan MK itu sebaiknya tidak melanjutkan narasi delegitimasi.“Tapi ada juga yang mengkritisi karena kepentingannya terganggu, karena keinginan berkuasanya syahwat kuasanya terganggu, ini yang munafik-munafik seperti ini kan juga mengkampanyekan terus, mendistorsi putusan Mahkamah Konstitusi,” ucap Habiburokhman.Di sisi lain, yang menjadi sorotan utama adalah putusan MK itu memberi jalan bagi Wali Kota Solo Gibran Rakabuming Raka, yang merupakan anak sulung Presiden Joko Widodo (Jokowi), menjadi peserta Pilpres 2024.Baca juga: Politisi PDI-P Masinton Akan Kumpulkan Dukungan Dewan untuk Usul Hak Angket MKGibran diusung dan didaftarkan ke Komisi Pemilihan Umum (KPU) sebagai bakal cawapres mendampingi bakal capres Prabowo Subianto.Sedangkan Gibran berhasil menduduki posisi Wali Kota Solo atas dukungan Partai Demokrasi Indonesia Perjuangan (PDI-P).“Ketika Mas Gibran maju jadi ribut, kalau Mas Gibran nggak maju, nggak ribut, ini jadi bukan masalah hukum, bukan persoalan kekuatiran terganggunya kepentingan nasional dan lain sebagainya,” kata Wakil Ketua Komisi III DPR itu.Sebelumnya diberitakan, Anggota Komisi XI DPR Fraksi PDI-P Masinton Pasaribu mengatakan dirinya akan menggulirkan wacana hak angket terhadap Mahkamah Konstitusi (MK) terkait putusan MK mengenai batas usia capres-cawapres.Baca juga: Gerindra: Putusan MK Tak Bisa Jadi Obyek Hak Angket DPR Hal tersebut Masinton sampaikan ketika sedang melakukan interupsi di Rapat Paripurna DPR, Selasa (31/10/2023).Masinton menjelaskan, konstitusi harus tegak dan tidak boleh dipermainkan atas nama pragmatis politik sempit.Dia mengklaim dirinya menyuarakan hal tersebut bukan demi kepentingan PDI-P ataupun capres manapun. "
29,Menlu Retno Sebut Bantuan Indonesia untuk Palestina Dikirim Akhir Pekan ini,"JAKARTA, KOMPAS.com - Menteri Luar Negeri (Menlu) RI Retno Marsudi mengatakan, bantuan dari pemerintah Indonesia untuk Palestina akan dikirim akhir pekan ini.Ia mengatakan, bantuan yang diberikan sudah disesuaikan dengan kebutuhan masyarakat yang terdampak perang Hamas-Israel di Palestina.""Bapak Presiden sudah memberikan arahan bahwa bantuan kemanusiaan yang sudah kita mulai garap minggu ini akan dikirim pada akhir minggu ini. Dan barang-barang ini yang kita kirim adalah sudah sesuai dengan permintaan atau kebutuhan mereka,"" ujar Retno Marsudi dalam konferensi pers di Kantor Kemenlu, Jakarta Pusat, Kamis (1/11/2023).""Jadi, minggu lalu, kita melakukan komunikasi dengan mereka. Di New York pun saya melakukan komunikasi langsung dengan Menlu Palestina untuk mendapatkan informasi mengenai barang-barang yang diperlukan oleh mereka,"" katanya lagi.Baca juga: Menlu: WNI di Gaza dalam Keadaan Baik, tetapi Komunikasi Tidak LancarRetno Marsudi mengatakan, bantuan yang akan dikirim bukan hanya bersumber dari pemerintah Indonesia saja. Sebab, ada pula bantuan dari beberapa lembaga kemanusiaan. Salah satunya Palang Merah Indonesia (PMI).""Oleh karena itu, saya ingin menyampaikan terima kasih banyak kepada ibu bapak dari lembaga-lembaga kemanusiaan di Indonesia yang sudah berkenan untuk bergabung dengan kami, menunjukkan rasa solidaritas kemanusiaan dengan saudara-saudara kita yang ada di Gaza,"" ujar Retno Marsudi.""Dan detail mengenai bantuan tentunya akan diberikan pada saat pelepasan bantuan dilakukan pada akhir minggu ini,"" katanya melanjutkan.Baca juga: 6 Poin Perkembangan Terkini Perang Hamas-Israel Sebelumnya, Presiden Joko Widodo (Jokowi) mengatakan, pemerintah Indonesia akan mengirim bantuan kemanusiaan untuk masyarakat Palestina.Bantuan kloter pertama akan diberangkatkan pada pekan ini.Menurut Presiden, bantuan yang dikirimkan bersumber dari sumbangan pemerintah, dunia usaha dan masyarakat.Dalam keterangannya pada Senin (30/10/2023), Presiden Jokowi juga menyebut bahwa dirinya memimpin rapat terbatas yang membahas soal Palestina.Baca juga: Menlu Retno Minta PBB Tolak Pemindahan Paksa Warga Palestina di Jalur GazaSaat itu, Kepala Negara menyatakan bahwa Indonesia sangat marah terhadap kondisi di Gaza yang semakin memburuk.""Indonesia sangat marah terhadap memburuknya situasi di Gaza terutama situasi kemanusiaan. Kita terus ikuti secara dekat perkembangan di Gaza,"" ujar Jokowi.""Dan posisi Indonesia sangat jelas dan tegas, mengutuk keras serangan acak terhadap masyarakat sipil dan fasilitas sipil di Gaza,"" katanya lagi.Jokowi juga menyerukan agar kekerasan di kawasan tersebut harus segera dihentikan. Sejalan dengan itu, gencatan senjata harus terus diupayakan.Baca juga: Menlu Retno Serukan PBB Segera Ambil Langkah untuk Gencatan Senjata di GazaDapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
30,"Pemkot Bogor akan Mendata Pohon Rawan Tumbang, Bersiap Hadapi Hujan Angin","BOGOR, KOMPAS.com - Wakil Wali Kota Bogor Dedie Rachim meminta Dinas Perumahan dan Permukiman (Disperumkim) mendata pohon rawan tumbang di wilayahnya.""Kalau memang ada pohon-pohon yang rawan, baik karena kerapuhan, atau usia, agar segera bisa diantisipasi, baik dengan pemangkasan atau penebangan. Dilihat saja mana urgensinya,"" ujar Dedie, Rabu (1/11/2023).Instruksi ini disampaikan usai pada Selasa (31/10/2023), Kota Bogor dilanda hujan disertai angin kencang sehingga banyak pohon besar yang tumbang.""Cukup prihatin ya karena perubahan cuaca yang cukup mendadak, mengakibatkan beberapa kejadian. Antara lain yang dominan adalah pohon tumbang,"" lanjut dia.Baca juga: Detik-detik Angin Porak Porandakan Rumah di Bogor, Terdengar Gemuruh dan Atap BeterbanganMelalui pemangkasan atau penebangan pohon rawan tumbang, Dedie berharap, ketika ada fonemena alam yang tidak terprediksi seperti hujan angin beberapa waktu lalu, Kota Bogor menjadi lebih siap dalam menghadapinya.""Kemarin tidak ada yang menduga. Tiba-tiba hujan deras dan angin kencang. Padahal sebelumnya panas terik. Ini luar biasa anomali cuaca, dan mungkin apakah ini sudah masuk pancaroba, transisi masuk ke musim penghujan, ini harus bisa kita antisipasi,"" lanjut dia.Diberitakan sebelumnya, Kota Bogor, Jawa Barat, dilanda sejumlah bencana pada Selasa (31/10/2023).Dari data yang diterima, sebanyak 50 kejadian bencana terjadi sepanjang Selasa sore hingga malam.Baca juga: Hujan dan Angin Kencang di Bogor, 465 Rumah Rusak, Pohon hingga Tiang Listrik TumbangKepala Badan Penanggulangan Bencana Daerah (BPBD) Kota Bogor Theofilio Patrocinio Freitas mengungkapkan, pemicu bencana disebabkan karena curah hujan tinggi disertai angin kencang yang melanda kawasan Bogor.Theo mengatakan, bencana yang menerjang Kota Bogor mulai dari pohon tumbang, longsor, hingga beberapa bangunan yang terdampak angin kencang.""Bencana yang masuk dan kita data ada 50 kejadian. Ini laporannya yang masuk cukup banyak,"" kata Theo.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
31,57 Kendaraan Ditilang Saat Razia Uji Emisi di 5 Lokasi Jakarta,"JAKARTA, KOMPAS.com - Pemerintah Provinsi (Pemprov) DKI Jakarta dan Ditlantas Polda Metro Jaya menilang pengendara yang kendaraannya tak yang tak lulus uji emisi pada hari ini, Rabu (1/11/2023). Setidaknya, ada 57 pengendara sepeda motor dan mobil ditilang dalam razia uji emisi kendaraan yang digelar di lima wilayah Jakarta. ""Untuk pengendara roda empat ada 20. Dan untuk roda dua ada 37 kendaraan yang tak lulus uji emisi,"" ujar Kepala Dinas Lingkungan Hidup DKI Jakarta Asep Kuswanto dalam keterangannya, Rabu (1/11/2023).  Baca juga: Razia Uji Emisi Bakal Berlangsung 4 Kali di Jakarta Timur Sepanjang November Adapun pengendara yang ditilang dikenakan sanksi denda berbeda. Bagi pengendara roda dua didenda Rp 250.000, sedangkan bagi pengemudi mobil sebesar Rp 500.000. Besaran denda tilang diatur sesuai dalam Pasal 285 Ayat 1 serta Pasal 276 Undang-Undang No 22 Tahun 2009 tentang Lalu Lintas serta Angkutan Jalan (LLAJ). ""Untuk kendaraan yang lulus uji emisi, roda empat sebanyak 133. Persentase 84 persen dari yang dirazia. Kendaraan roda dua yang lulus uji emisi 122 kendaraan atau 76 persen,"" kata Asep. Asep sebelumnya menjelaskan, proses razia uji emisi kendaraan petugas akan menyasar kendaraan yang berusia di atas tiga tahun. Adapun mekanisme razia yakni petugas akan memberhentikan secara acak kendaraan baik roda dua atau roda empat yang melintas. Nantinya pengendara akan diperiksa melalui data Samsat mengenai usia kendaraan. ""Kami juga sudah memiliki data itu (untuk usia kendaraan) dan nanti pada saat pelaksanaan bisa diperiksa umur kendaraan apakah sudah di atas tiga tahun atau di bawah tiga tahun,"" kata Asep. ""Nah bagi kendaraan yang di bawah tiga tahun kami persilakan melintas untuk melanjutkan perjalanan,"" sambung Asep. Baca juga: Bukan Lagi Sosialisasi, Tidak Lulus Uji Emisi Bakal Langsung Ditilang DLH DKI menyatakan, razia uji emisi akan dijalankan secara konsisten sampai berakhir pada akhir tahun 2023. Masyarakat yang melakukan mobilitas di wilayah DKI Jakarta untuk segera melakukan uji emisi kendaraannya, baik roda dua maupun roda empat. ""Ini sangat efektif, hasil kajian kami bersama NGO Internasional Vital Strategies menunjukkan intervensi sumber emisi dari sumber bergerak manfaat terbesar berasal dari uji emisi,” kata Asep.Baca juga: Disebut Penyumbang Polusi Terbesar, Pemprov DKI Minta Pemilik Kendaraan Segera Uji EmisiDapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
